label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
203.19M,17754794,213057536,5,11729.9,11804.1,11920.0,10637.1,10661.8,10733.7,8964.4,9016.8,9081.4,8958.8,9009.9,9093.0,2200,55.0
228.07M,19929088,239149056,5,11627.1,11774.1,11861.8,10640.8,10674.4,10720.3,8919.5,8992.0,9060.4,8959.8,9009.9,9074.5,2200,55.0
256.00M,22369621,268435456,5,11581.5,11686.7,11859.3,10632.6,10673.8,10684.7,8908.9,8958.3,9001.5,8950.8,8971.2,9051.6,2200,55.0
287.35M,25109077,301308928,5,11147.1,11551.0,11632.5,10531.1,10591.2,10712.1,8866.7,8941.2,9001.6,8248.3,8955.0,9028.0,2200,55.0
322.54M,28183978,338207744,5,11515.5,11578.8,11621.6,10601.9,10682.3,10690.9,8837.2,8958.2,9003.7,8897.7,8939.7,8995.8,2200,55.0
362.04M,31635456,379625472,5,11214.8,11453.2,11483.4,10593.3,10663.7,10683.1,8819.5,8920.6,9014.9,8893.9,8947.7,9022.0,2200,55.0
406.38M,35509589,426115072,5,11147.7,11179.7,11434.0,10666.7,10694.9,10725.9,8940.5,8965.4,9008.6,8926.9,8979.9,8986.9,2200,55.0
456.14M,39858176,478298112,5,10671.2,11362.8,11447.8,10673.0,10722.2,10757.5,8935.1,9003.4,9018.2,8599.4,8969.1,9007.2,2200,55.0
512.00M,44739242,536870912,5,10769.9,11293.2,11966.8,10678.9,10687.2,10994.8,8840.7,8949.5,9037.8,8842.0,8880.5,9034.6,2200,55.0
574.70M,50218069,602616832,5,10321.3,11917.7,12215.2,10671.1,10695.8,10706.6,8797.4,9006.6,9035.2,8361.6,8992.7,9114.1,2200,55.0
645.08M,56367872,676414464,5,10780.9,11158.1,11533.7,10625.4,10657.3,10707.7,8273.4,8834.6,8929.6,8271.6,8849.7,9027.4,2200,55.0
724.08M,63270826,759249920,5,10473.8,11450.7,11741.8,10574.2,10582.0,10703.4,8696.0,8883.8,8955.3,8643.6,8948.0,9054.5,2200,55.0
812.75M,71019093,852229120,5,10708.9,10828.7,11129.6,10645.4,10677.9,10691.4,8742.3,8786.8,8808.2,8180.9,8861.5,8928.1,2200,55.0
912.28M,79716266,956595200,5,11401.7,11589.2,11765.6,10594.4,10619.1,10703.7,8570.4,8866.4,8983.7,8446.3,8922.9,9097.4,2200,55.0
1.00G,89478485,1073741824,5,10942.4,11389.8,11644.2,10651.0,10668.2,10799.4,8839.3,8883.8,8951.9,8776.6,8946.6,9117.2,2200,55.0
1.12G,100436224,1205234688,5,10831.0,11011.5,11518.6,10493.1,10495.8,10521.1,8405.2,8554.1,8739.4,8498.8,8636.0,8817.0,2200,55.0
1.26G,112735829,1352829952,5,10901.4,11063.1,11587.2,10764.9,10774.8,10798.3,8406.7,8991.9,9004.1,8330.7,9045.6,9138.5,2200,55.0
1.41G,126541653,1518499840,5,10962.4,11225.0,11342.4,10636.8,10645.0,10831.3,8281.9,8858.4,8979.4,8684.0,8925.7,9047.0,2200,55.0
1.59G,142038272,1704459264,5,10715.4,10959.1,11328.9,10482.9,10690.7,10727.0,8572.7,8657.7,9015.9,8381.2,8685.8,9081.4,2200,55.0
1.78G,159432533,1913190400,5,10491.4,10717.7,11153.8,10678.0,10740.8,10790.8,8550.8,9024.4,9043.5,8329.3,8959.4,9084.9,2200,55.0
2.00G,178956970,2147483648,5,11030.7,11399.2,11619.1,10665.0,10696.0,10715.3,8246.9,8870.9,8916.9,8289.8,8456.4,8758.4,2200,55.0
