label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
143.67M,6277248,150653952,5,13548.8,14094.1,14341.7,11515.2,11544.2,11548.3,10458.4,10550.1,10604.1,10554.3,10564.8,10645.4,2,54.0
152.22M,6650538,159612928,5,14161.4,14361.9,14461.9,11490.1,11502.5,11539.7,9509.9,10397.5,10611.8,10541.1,10562.1,10690.1,2,54.0
161.27M,7045973,169103360,5,14152.0,14370.1,14472.1,11540.2,11553.1,11562.8,10448.7,10650.2,10651.5,10521.6,10561.7,10681.8,2,54.0
170.86M,7464960,179159040,5,14173.2,14367.9,14505.6,11540.0,11546.7,11553.4,10431.4,10625.1,10653.5,10508.4,10525.8,10679.4,2,54.0
181.02M,7908864,189812736,5,13409.3,14038.5,14399.6,11530.9,11554.2,11564.8,9521.5,10397.9,10645.8,9530.6,10536.8,10688.9,2,54.0
191.78M,8379136,201099264,5,13975.4,14168.7,14338.5,11492.2,11524.5,11525.7,10372.4,10586.4,10611.0,10413.7,10464.6,10666.1,2,54.0
203.19M,8877397,213057536,5,12715.1,14040.8,14314.1,11500.1,11521.7,11530.2,9488.6,10356.1,10411.8,9468.4,9674.8,10618.3,2,54.0
215.27M,9405269,225726464,5,13568.2,14054.9,14188.5,11512.8,11527.9,11556.2,10370.1,10582.0,10605.9,9472.0,10500.4,10643.4,2,54.0
228.07M,9964544,239149056,5,13339.5,13651.3,14191.9,11500.7,11519.7,11545.6,9512.3,10323.7,10609.9,9473.9,10457.3,10560.8,2,54.0
241.63M,10557056,253369344,5,13848.7,14123.1,14156.4,11525.1,11528.3,11552.7,10378.0,10547.4,10569.4,10442.3,10470.6,10599.4,2,54.0
256.00M,11184810,268435456,5,13782.8,13843.6,14006.3,11524.8,11542.5,11550.2,10324.4,10529.8,10537.2,10408.5,10423.8,10544.6,2,54.0
271.22M,11849898,284397568,5,12077.9,12546.3,13891.0,11518.8,11539.0,11562.3,10294.6,10469.7,10514.6,9586.7,10416.7,10509.0,2,54.0
287.35M,12554538,301308928,5,12565.6,13952.5,13996.1,11500.7,11528.6,11529.1,10352.5,10498.9,10556.0,10416.2,10436.0,10577.4,2,54.0
304.44M,13301077,319225856,5,13759.5,14005.0,14014.9,11498.7,11512.3,11513.7,9532.3,10317.6,10484.0,10399.5,10408.0,10543.2,2,54.0
322.54M,14091989,338207744,5,12344.5,13836.9,13853.9,11502.5,11534.9,11535.4,10169.5,10381.8,10530.4,10402.6,10447.8,10571.3,2,54.0
341.72M,14929920,358318080,5,12499.6,12722.6,13468.6,11521.6,11526.1,11542.8,9925.7,10339.0,10491.9,9361.9,10354.5,10502.0,2,54.0
362.04M,15817728,379625472,5,12751.2,13038.7,13497.8,11505.9,11532.6,11540.5,10330.2,10424.4,10450.8,9912.4,10365.8,10469.8,2,54.0
